                                                                      Workers from spans (tile/spans.json)                                                                       
Worker                                                 Spans    Ignored    Span time    Window    Top spans                                                                      
unix:///tmp/frisky-sock-u2zmrkpl/worker-2388-0.sock       50          4         6.5m      5.4m    worker.exec.call 5.4m, worker.paused 1.1m, worker.exec.deserialize 712ms       
unix:///tmp/frisky-sock-u2zmrkpl/worker-2403-0.sock       42          3         6.4m      5.5m    worker.exec.call 5.4m, worker.paused 59.0s, worker.exec.deserialize 699ms      
unix:///tmp/frisky-sock-u2zmrkpl/worker-2406-0.sock       42          3         6.4m      5.5m    worker.exec.call 5.4m, worker.paused 60.0s, worker.exec.deserialize 783ms      
unix:///tmp/frisky-sock-u2zmrkpl/worker-2408-0.sock       50          4         6.4m      5.6m    worker.exec.call 5.5m, worker.paused 53.0s, worker.exec.deserialize 766ms      
unix:///tmp/frisky-sock-u2zmrkpl/worker-2377-0.sock       42          3         6.4m      5.5m    worker.exec.call 5.4m, worker.paused 59.0s, worker.exec.deserialize 807ms      
unix:///tmp/frisky-sock-u2zmrkpl/worker-2383-0.sock       42          3         6.4m      5.4m    worker.exec.call 5.4m, worker.paused 60.0s, worker.exec.deserialize 670ms      
unix:///tmp/frisky-sock-u2zmrkpl/worker-2432-0.sock       42          3         6.4m      5.4m    worker.exec.call 5.4m, worker.paused 60.0s, worker.exec.deserialize 666ms      
unix:///tmp/frisky-sock-u2zmrkpl/worker-2430-0.sock       43          3         6.4m      5.0m    worker.exec.call 5.0m, worker.paused 1.4m, worker.send_data_to_scheduler 642ms 
unix:///tmp/frisky-sock-u2zmrkpl/worker-2412-0.sock       42          3         6.4m      5.4m    worker.exec.call 5.4m, worker.paused 59.0s, worker.exec.deserialize 676ms      
unix:///tmp/frisky-sock-u2zmrkpl/worker-2433-0.sock       42          3         6.4m      5.4m    worker.exec.call 5.4m, worker.paused 59.0s, worker.exec.deserialize 788ms      
unix:///tmp/frisky-sock-u2zmrkpl/worker-2413-0.sock       42          3         6.4m      5.4m    worker.exec.call 5.4m, worker.paused 59.0s, worker.exec.deserialize 798ms      
unix:///tmp/frisky-sock-u2zmrkpl/worker-2393-0.sock       42          2         6.3m      5.3m    worker.exec.call 5.3m, worker.paused 1.0m, worker.exec.deserialize 712ms       
unix:///tmp/frisky-sock-u2zmrkpl/worker-2404-0.sock       42          3         6.3m      5.4m    worker.exec.call 5.4m, worker.paused 57.0s, worker.send_data_to_scheduler 801ms
unix:///tmp/frisky-sock-u2zmrkpl/worker-2422-0.sock       42          3         6.3m      5.4m    worker.exec.call 5.3m, worker.paused 59.0s, worker.exec.deserialize 628ms      
unix:///tmp/frisky-sock-u2zmrkpl/worker-2396-0.sock       42          3         6.3m      5.3m    worker.exec.call 5.3m, worker.paused 1.0m, worker.send_data_to_scheduler 692ms 
unix:///tmp/frisky-sock-u2zmrkpl/worker-2426-0.sock       42          3         6.3m      5.4m    worker.exec.call 5.4m, worker.paused 54.0s, worker.exec.deserialize 594ms      
unix:///tmp/frisky-sock-u2zmrkpl/worker-2390-0.sock       42          2         6.3m      5.3m    worker.exec.call 5.3m, worker.paused 1.0m, worker.exec.deserialize 641ms       
unix:///tmp/frisky-sock-u2zmrkpl/worker-2371-0.sock       42          3         6.3m      5.2m    worker.exec.call 5.2m, worker.paused 1.0m, worker.exec.deserialize 612ms       
unix:///tmp/frisky-sock-u2zmrkpl/worker-2399-0.sock       42          3         6.3m      5.3m    worker.exec.call 5.3m, worker.paused 59.0s, worker.exec.deserialize 666ms      
unix:///tmp/frisky-sock-u2zmrkpl/worker-2382-0.sock       42          2         6.2m      5.3m    worker.exec.call 5.3m, worker.paused 58.0s, worker.exec.deserialize 709ms      
unix:///tmp/frisky-sock-u2zmrkpl/worker-2405-0.sock       42          3         6.2m      5.2m    worker.exec.call 5.2m, worker.paused 1.0m, worker.exec.deserialize 924ms       
unix:///tmp/frisky-sock-u2zmrkpl/worker-2376-0.sock       42          3         6.2m      5.2m    worker.exec.call 5.2m, worker.paused 59.0s, worker.exec.deserialize 733ms      
unix:///tmp/frisky-sock-u2zmrkpl/worker-2373-0.sock       42          2         6.1m      5.3m    worker.exec.call 5.2m, worker.paused 54.0s, worker.exec.deserialize 643ms      
unix:///tmp/frisky-sock-u2zmrkpl/worker-2423-0.sock       42          2         6.1m      5.2m    worker.exec.call 5.2m, worker.paused 57.0s, worker.exec.deserialize 737ms      
unix:///tmp/frisky-sock-u2zmrkpl/worker-2379-0.sock       42          3         6.1m      5.2m    worker.exec.call 5.2m, worker.paused 57.0s, worker.send_data_to_scheduler 689ms
unix:///tmp/frisky-sock-u2zmrkpl/worker-2372-0.sock       42          3         6.1m      5.2m    worker.exec.call 5.2m, worker.paused 54.0s, worker.exec.deserialize 1.3s       
unix:///tmp/frisky-sock-u2zmrkpl/worker-2394-0.sock       42          2         6.0m      5.2m    worker.exec.call 5.1m, worker.paused 53.0s, worker.exec.deserialize 688ms      
unix:///tmp/frisky-sock-u2zmrkpl/worker-2418-0.sock       49          4         5.9m      5.4m    worker.exec.call 5.4m, worker.paused 26.0s, worker.exec.deserialize 777ms      
unix:///tmp/frisky-sock-u2zmrkpl/worker-2428-0.sock       42          2         5.9m      4.9m    worker.exec.call 4.9m, worker.paused 55.0s, worker.exec.deserialize 648ms      
